id,name,description,experience_id
3377699720527893,Su Kaydýraðý,Bünyesinde su kaydýraðý ve su parký olan oteller,1
3377699720527894,Bebekli Tatil (0-2 Yaþ),"Gün içerisinde bebek bakýmý, gündüz bakýmevi",4
3377699720527895,Çocuklu Tatil (2-10 yaþ),"Gün içerisinde çocuk bakýmý, çocuk eðlence alaný",5
3377699720527896,Uzaktan Çalýþma,"Güçlü internet baðlantýsý, çalýþma odasý, sessiz saat kuralý",6
3377699720527897,Evcil Hayvanla Tatil,Evcil hayvanlar için uygun oda ve imkanlara sahip oda,7
3377699720527898,Dalýþ,Dalýþ aktiviteleri ve eðitimleri sunan oteller,8
3377699720527899,Parti deneyimi,Partilemek ve eðlenmek isteyenler için oteller,9
3377699720527900,Kumsal,Özel kumsal alanýna sahip oteller,10
3377699720527901,Rahat Uyku Deneyimi,Rahat uyku uyumak isteyenler için konforlu oteller,11
3377699720527902,Spor Alanlarý,"Futbol, basketbol, tenis gibi spor alanlarýna sahip oteller",12
3377699720527903,Gece Eðlence Programý,"Gece kulübü, canlý müzik ve þovlar sunan oteller",13
3377699720527904,Sadece Yetiþkin Tatili,Yalnýzca yetiþkinlere hizmet veren oteller,14
3377699720527905,Çocuk Havuz Alaný,Çocuklar için özel yüzme havuzlarý bulunan oteller,15
3377699720527906,Özel Menü,"Diyet, vejetaryen, vegan gibi özel menüler sunan oteller",17
3377699720527907,Spa ve Wellness,Spa ve wellness hizmetleri sunan oteller,20
3377699720527908,Balayý,Balayý çiftlerine özel paketler ve hizmetler sunan oteller,18
3377699720527909,Hizmet Kalitesi,"Tatil boyunca alýnacak çeþitli hizmetlerin (karþýlama, yemek servisi vb.) kalitesi
",2
3377699720527910,Hijyenik Tatil,Tatil süresince konaklanan tesis ortak alanlarýnda ve oda genelinde temizliðe ve  hijyen oldukça dikkat eden oteller,3
3377699720527911,Ulaþým Ýmkanlarý,"Konaklanan tesisin konumu, tesise ulaþým kolaylýðý, sahil/deniz ve havalimaný transferleri için servis bulunduran oteller",19
